,name,Record Holder 1,Country 1,Detail 1,value,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
173,Most Masters Quarter-Finals in Single Season,Novak Djokovic,SRB,2009,9,Rafael Nadal,ESP,2009,,,
175,Most Hard Quarter-Finals in Single Season,Jimmy Connors,USA,1973,13,Novak Djokovic,SRB,2009,,,
181,Most Masters Quarter-Finals at Single Tournament,Rafael Nadal,ESP,Monte Carlo Masters,16,Rafael Nadal,ESP,Rome Masters,,,
205,Most Entries at Single Tournament,Jimmy Connors,USA,US Open,22,Roger Federer,SUI,Wimbledon,,,
206,Most Grand Slam Entries at Single Tournament,Jimmy Connors,USA,US Open,22,Roger Federer,SUI,Wimbledon,,,
261,Grand Slam Title Streak,Rod Laver,AUS,1969 Australian Open - 1969 US Open,4,Novak Djokovic,SRB,2015 Wimbledon - 2016 Roland Garros,,,
267,"Big Title Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,2014 Paris Masters - 2015 Rome Masters,7,Novak Djokovic,SRB,2015 US Open - 2016 Miami Masters,,,
277,Title Streak at Single Tournament,Rafael Nadal,ESP,2005 Monte Carlo Masters - 2012 Monte Carlo Masters,8,Rafael Nadal,ESP,2005 Barcelona - 2013 Barcelona,,,
278,Title Streak at Single Grand Slam Tournament,Bjorn Borg,SWE,1976 Wimbledon - 1980 Wimbledon,5,Roger Federer,SUI,2003 Wimbledon - 2007 Wimbledon,Roger Federer,SUI,2004 US Open - 2008 US Open
293,Hard Final Streak,Roger Federer,SUI,2005 Rotterdam - 2006 Canada Masters,13,Novak Djokovic,SRB,2015 Australian Open - 2016 Australian Open,,,
297,Outdoor Final Streak,Roger Federer,SUI,2005 Halle - 2006 Canada Masters,15,Novak Djokovic,SRB,2015 Australian Open - 2016 Australian Open,,,
303,Final Streak at Single ATP 250/WS Tournament,Guillermo Vilas,ARG,1972 Buenos Aires - 1982 Buenos Aires,9,Roger Federer,SUI,2003 Halle - 2014 Halle,,,
314,"Small Semi-Final Streak (ATP 500/CS, ATP 250/WS)",Ivan Lendl,USA,1981 Las Vegas - 1982 Madrid,18,Roger Federer,SUI,2008 Estoril - 2012 Basel,,,
315,Hard Semi-Final Streak,Jimmy Connors,USA,1973 Boston - 1975 Stockholm,18,Roger Federer,SUI,2004 US Open - 2006 Canada Masters,,,
406,Longest Tour Finals First Title to Last Title,Pete Sampras,USA,12-11-1991 Tour Finals - 22-11-1999 Tour Finals,8 years 10 days,Roger Federer,SUI,10-11-2003 Masters Cup - 20-11-2011 Tour Finals,,,
456,Least Sets Lost Winning Grass Title,Bjorn Borg,SWE,1976 Wimbledon,0,Roger Federer,SUI,2017 Wimbledon,,,
460,Titles Won W/O Losing Set,Ivan Lendl,USA,,28,Rafael Nadal,ESP,,,,
468,Hard Titles Won W/O Losing Set,Roger Federer,SUI,,15,Novak Djokovic,SRB,,,,
470,Grass Titles Won W/O Losing Set,Jimmy Connors,USA,,4,Roger Federer,SUI,,,,
506,ATP 250/WS Titles Won W/O Break Against,Richard Krajicek,NED,,2,Roger Federer,SUI,,Milos Raonic,CAN,
545,Most Matches Played at Single Masters Tournament,Roger Federer,SUI,Indian Wells Masters,79,Rafael Nadal,ESP,Monte Carlo Masters,,,
579,Most Matches Won Vs Top 10,Novak Djokovic,SRB,223,223,Roger Federer,SUI,223,,,
581,Most Hard Matches Won in Single Season,Roger Federer,SUI,2006,59,Novak Djokovic,SRB,2015,,,
590,Most Matches Won at Single Tournament,Rafael Nadal,ESP,Roland Garros,105,Roger Federer,SUI,Wimbledon,,,
591,Most Matches Won at Single Grand Slam Tournament,Rafael Nadal,ESP,Roland Garros,105,Roger Federer,SUI,Wimbledon,,,
661,Tour Finals Winning Streak,Ivan Lendl,USA,1985 Masters - 1988 Masters,15,Novak Djokovic,SRB,2012 Tour Finals - 2015 Tour Finals,,,
670,Davis Cup Winning Streak,Bjorn Borg,SWE,1973 Davis Cup EUR - 1980 Davis Cup EUR,29,Rafael Nadal,ESP,2004 Davis Cup WG - 2019 Davis Cup Finals,,,
703,Most Ends of Season at ATP No. 1,Pete Sampras,USA,6,6,Novak Djokovic,SRB,6,,,
705,Most Ends of Season at ATP No. 3,Ivan Lendl,USA,4,4,Novak Djokovic,SRB,4,Roger Federer,SUI,4
717,Most Consecutive Ends of Season at ATP Top 10,Jimmy Connors,USA,1973-1988,16,Rafael Nadal,ESP,2005-2020,,,
780,Most Ends of Season at Open Era No. 1,Pete Sampras,USA,6,6,Novak Djokovic,SRB,6,,,
782,Most Ends of Season at Open Era No. 3,Ivan Lendl,USA,4,4,Novak Djokovic,SRB,4,Roger Federer,SUI,4
794,Most Consecutive Ends of Season at Open Era Top 10,Jimmy Connors,USA,1973-1988,16,Rafael Nadal,ESP,2005-2020,,,
854,Most Ends of Season at Elo Top 2,Roger Federer,SUI,11,11,Novak Djokovic,SRB,11,Rafael Nadal,ESP,11
860,Most Consecutive Ends of Season at Elo No. 2,Rafael Nadal,ESP,2005-2007,3,Rafael Nadal,ESP,2012-2014,Novak Djokovic,SRB,2017-2019
862,Most Consecutive Ends of Season at Elo Top 2,Pete Sampras,USA,1992-2001,10,Novak Djokovic,SRB,2011-2020,,,
1141,"Most Big Tournaments Head-to-Head Matches Won (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,vs R. Nadal,26,Rafael Nadal,ESP,vs N. Djokovic,,,
1152,Most Outdoor Head-to-Head Matches Won,Novak Djokovic,SRB,vs R. Nadal,26,Rafael Nadal,ESP,vs N. Djokovic,,,
